# Orbital elements of hypothetical and fictitious celestial bodies
# Used in astrological traditions; these bodies do not exist physically.
#
# Format: CSV with 10 columns
#   name, epoch_jd, equinox, mean_anomaly, semi_axis_au, eccentricity,
#   arg_perihelion, asc_node, inclination, geocentric, source
#
# epoch_jd:       Reference epoch as Julian Day (TT)
# equinox:        Coordinate equinox: "J1900", "B1950", "J2000", or "JDATE"
# mean_anomaly:   Mean anomaly at epoch (degrees; may include linear T term
#                 as "const + rate * T" where T = Julian centuries from epoch)
# semi_axis_au:   Semi-major axis in AU
# eccentricity:   Orbital eccentricity (may include T term)
# arg_perihelion: Argument of perihelion in degrees (may include T term)
# asc_node:       Longitude of ascending node in degrees (may include T term)
# inclination:    Orbital inclination in degrees (may include T term)
# geocentric:     0 = heliocentric, 1 = geocentric (orbits Earth)
# source:         Bibliographic reference for the elements
#
# "T" is Julian centuries elapsed from epoch_jd:
#   T = (JD - epoch_jd) / 36525
#
# Lines starting with '#' are comments. Blank lines are ignored.

# --- Hamburg School Uranian Planets ---
# Alfred Witte introduced the first four in 1914-1919; Sieggrün added four more.
# Elements refined by James Neely (1988), as published in various Hamburg School
# texts and the Regelwerk für Planetenbilder.
# Primary source: Witte, A. & Lefeldt, H. (1928). "Regelwerk für Planetenbilder."
#   Hamburg: Ludwig Rudolph.
# See also: Neely, J. (1988). "The Uranian Planets." NCGR Research Journal, vol. 1.

Nibiru, 1856113.380954, 1856113.380954, 0.0, 234.8921, 0.981092, 103.966, -44.567, 158.708, 0, Woeltge C. (Hannover, unpublished)

# --- Harrington's Planet X ---
# Robert Harrington's predicted trans-Neptunian planet based on dynamical perturbations.
# Source: Harrington, R.S. (1988). "The Location of Planet X."
#   The Astronomical Journal, 96(4), 1476-1478. DOI:10.1086/114898

Harrington, 2374696.5, J2000, 0.0, 101.2, 0.411, 208.5, 275.4, 32.4, 0, Harrington 1988 AJ 96(4) 1476

# --- Historical Neptune predictions ---
# Orbital elements for the positions independently predicted for Neptune
# before its discovery in 1846.
# Source: Hoyt, W.G. (1980). "Planets X and Pluto." Tucson: University of Arizona Press, p. 63.

Leverrier-Neptune, 2395662.5, 2395662.5, 34.05, 36.15, 0.10761, 284.75, 0.0, 0.0, 0, Hoyt 1980 "Planets X and Pluto" p.63
Adams-Neptune,     2395662.5, 2395662.5, 24.28, 37.25, 0.12062, 299.11, 0.0, 0.0, 0, Hoyt 1980 "Planets X and Pluto" p.63

# --- Historical Pluto predictions ---
# Orbital elements from historical predictions for the trans-Neptunian planet
# eventually identified as Pluto.
# Source: Hoyt, W.G. (1980). "Planets X and Pluto." Tucson: University of Arizona Press, p. 63.

Lowell-Pluto,    2425977.5, 2425977.5, 281.0, 43.0, 0.202, 204.9, 0.0,   0.0,  0, Hoyt 1980 "Planets X and Pluto" p.63
Pickering-Pluto, 2425977.5, 2425977.5,  48.95, 55.1, 0.31, 280.1, 100.0, 15.0, 0, Hoyt 1980 "Planets X and Pluto" p.63

# --- Vulcan (hypothetical intra-Mercurial planet) ---
# Proposed by Urbain Le Verrier in 1859 to explain Mercury's perihelion precession.
# Not confirmed; anomaly later explained by general relativity (Einstein 1915).
# Elements per Weston, L.H. (unpublished; T-polynomial formulation).
# Mean anomaly and apsidal elements precess rapidly (orbital period ~20 days).

Vulcan, 2415020.0, JDATE, 252.8987988 + 707550.7341 * T, 0.13744, 0.019, 322.212069 + 1670.056 * T, 47.787931 - 1670.056 * T, 7.5, 0, Weston L.H. (unpublished); see also Le Verrier 1859

# --- Selena / White Moon ---
# A symbolic geocentric point opposite to the mean Black Moon Lilith,
# representing an idealised "light" counterpart to the lunar apogee.
# Introduced in Russian astrological tradition (Vera Shkurovich, 1990s).
# Elements referenced to J2000.0; position follows the mean lunar apogee cycle.

Selena, 2451545.0, JDATE, 242.2205555 + 5143.5418158 * T, 0.05280098949, 0.0, 0.0, 0.0, 0.0, 1, Shkurovich V. (1990s); mean lunar apogee cycle

# --- Proserpina ---
# Hypothetical trans-Plutonian planet used in some astrological traditions.
# Elements provided by: Abramov, V. (Ukraine, private communication).
# See: http://www.geocities.ws/rognavaldre/proserpina.html (archived)

Proserpina, 2415020.0, JDATE, 170.73, 79.225630, 0.0, 0.0, 0.0, 0.0, 0, Abramov V. (unpublished)

# --- Waldemath's hypothetical second Moon of Earth ---
# Proposed by Dr. Georg Waldemath (1898) based on claimed observations.
# Not confirmed by any subsequent observation.
# Elements reconstructed by D. Koch from Waldemath's original published values
# as described in: Walters, D. "The Book on Vulcan" (chapter on the Dark Moon).
# Note: these differ from Solar Fire's implementation and from Delphine Jay's ephemeris.
# Geocentric body with retrograde nodal motion.

Waldemath, 2414290.95827875, 2414290.95827875, 70.3407215 + 109023.2634989 * T, 0.0068400705250028, 0.1587, 8.14049594 + 2393.47417444 * T, 136.24878256 - 1131.71719709 * T, 2.5, 1, Waldemath G. 1898; elements reconstructed by Koch D.

# --- Christ Comet ---
# Orbital elements proposed for the "Star of Bethlehem" interpreted as a comet.
# Source: Nicholl, C.R. (2015). "The Great Christ Comet." Wheaton: Crossway, p. 223.

Christ-Comet, 1719500.7, J2000, 0.0, 1190.0, 0.9999, 9.47, 200.08, 178.3, 0, Nicholl 2015 "The Great Christ Comet" p.223

# --- Planet Nine ---
# Orbital constraints from dynamical modeling of trans-Neptunian object clustering.
# True anomaly 117.8 deg (Fienga et al.); mean anomaly derived.
# Source: Fienga, A. et al. (2016). "Constraints on the location of a possible 9th
#   planet derived from the Cassini data." A&A, 587, L8.
#   DOI:10.1051/0004-6361/201628227

Planet-Nine, 2457388.5, J2000, 45.5272966, 700.0, 0.6, 150.0, 113.0, 30.0, 0, Fienga+2016 A&A 587 L8 DOI:10.1051/0004-6361/201628227

# --- Halley's Comet historical apparitions ---
# Orbital elements for ancient apparitions, reconstructed from backward integration.
# Source: Yeomans, D.K. & Kiang, T. (1981). "The long-term motion of comet Halley."
#   Monthly Notices of the Royal Astronomical Society, 197, 633-646.
#   DOI:10.1093/mnras/197.3.633

Halley-12BCE,   1717323.34852, B1950, 0.0, 17.99261849, 0.9673664, 92.54399, 35.19064, 163.58392, 0, Yeomans+Kiang 1981 MNRAS 197 633
Halley-1198BCE, 1283983.73252, B1950, 0.0, 16.80480637, 0.9625705, 74.46894, 14.66132, 162.95968, 0, Yeomans+Kiang 1981 MNRAS 197 633

# --- 2015 RR245 ---
# Trans-Neptunian object discovered 2015, included as an example body.
# Source: Bannister, M.T. et al. (2016). "OSSOS. I. Discovery of a Large
#   Trans-Neptunian Object Near the 9:2 Mean-motion Resonance with Neptune."
#   ApJL, 822, L2.

2015-RR245, 2457600.5, J2000, 322.50413, 81.2891975, 0.5852663, 261.41753, 211.67680, 7.57643, 0, Bannister+2016 ApJL 822 L2
